"Nombre del conjunto de anuncios","Nombre del anuncio","Nombre de la campaña",Día,Alcance,Impresiones,Frecuencia,Divisa,"Importe gastado (CLP)","Configuración de atribución","Clics en el enlace","CTR (todos)","CPC (todos)","CPM (costo por mil impresiones)","Artículos agregados al carrito","Costo por artículo agregado al carrito","Reproducciones de video de 3 segundos","Reproducciones de video hasta el 25%","Reproducciones de video hasta el 50%","Reproducciones de video hasta el 75%","Reproducciones de video hasta el 95%","Reproducciones de video hasta el 100%","Inicio del informe","Fin del informe"
"Test Publicos : Temuco","Video explicando servicio corto","campaña ventas HotBoat",2025-06-11,613,639,1.04241436,CLP,621,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",16,3.12989045,31.05,971.83098592,,,168,123,80,53,30,29,2025-01-01,2025-06-11
"Test Publicos : Temuco","Video explicando servicio corto - Copia","campaña ventas HotBoat",2025-06-11,289,366,1.26643599,CLP,663,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",1,0.81967213,221,1811.47540984,,,85,10,7,4,1,1,2025-01-01,2025-06-11
"Test Publicos : Temuco","Video parejas amor","campaña ventas HotBoat",2025-06-11,90,90,1,CLP,153,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,2.22222222,76.5,1700,,,34,4,3,1,1,1,2025-01-01,2025-06-11
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-11,1321,1431,1.08327025,CLP,1331,"7 días tras clic o 1 día tras visualización",27,5.03144654,18.48611111,930.11879804,,,477,350,253,152,72,65,2025-01-01,2025-06-11
"publico advantage","Video parejas amor","campaña ventas HotBoat",2025-06-11,10,14,1.4,CLP,23,"7 días tras clic o 1 día tras visualización",,7.14285714,23,1642.85714286,,,5,,,,,,2025-01-01,2025-06-11
"publico advantage","Video parejas dcto","campaña ventas HotBoat",2025-06-11,12,13,1.08333333,CLP,30,"7 días tras clic o 1 día tras visualización",,,,2307.69230769,,,6,1,,,,,2025-01-01,2025-06-11
"publico concepcion","Video explicando servicio corto","campaña ventas HotBoat",2025-06-11,1584,1633,1.03093434,CLP,1223,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",24,5.26638089,14.22093023,748.92835273,,,665,486,348,217,108,97,2025-01-01,2025-06-11
"publico concepcion","Video explicando servicio corto - Copia","campaña ventas HotBoat",2025-06-11,245,264,1.07755102,CLP,416,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",3,3.78787879,41.6,1575.75757576,,,115,13,1,1,1,1,2025-01-01,2025-06-11
"publico pucon 1","Video explicando servicio corto","campaña ventas HotBoat",2025-06-11,1509,1726,1.14380384,CLP,1790,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",28,3.47624565,29.83333333,1037.07995365,,,451,352,253,158,91,79,2025-01-01,2025-06-11
"publico pucon 1","Video parejas amor","campaña ventas HotBoat",2025-06-11,156,169,1.08333333,CLP,502,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",8,5.91715976,50.2,2970.41420118,,,58,8,2,2,2,2,2025-01-01,2025-06-11
