"Nombre del conjunto de anuncios","Nombre del anuncio","Nombre de la campaña",Día,Región,Alcance,Impresiones,Frecuencia,Divisa,"Importe gastado (CLP)","Configuración de atribución","Clics en el enlace","CTR (todos)","CPC (todos)","CPM (costo por mil impresiones)","Artículos agregados al carrito","Costo por artículo agregado al carrito","Reproducciones de video de 3 segundos","Reproducciones de video hasta el 25%","Reproducciones de video hasta el 50%","Reproducciones de video hasta el 75%","Reproducciones de video hasta el 95%","Reproducciones de video hasta el 100%","Inicio del informe","Fin del informe"
"publico pucon 1","Video Lluvia","campaña ventas HotBoat - Lluvia",2025-06-19,"Los Ríos Region",13,16,1.23076923,CLP,12,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,6.25,12,750,,,5,,,,,,2025-06-19,2025-06-19
"Test Publicos : Temuco","Video Lluvia","campaña ventas HotBoat - Lluvia",2025-06-20,"Araucanía Region",1516,1771,1.1682058,CLP,2239,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",22,3.27498588,38.60344828,1264.25748165,,,483,,,,,,2025-06-20,2025-06-20
"Test Publicos : Temuco","Video Lluvia","campaña ventas HotBoat - Lluvia",2025-06-21,"Araucanía Region",601,710,1.18136439,CLP,882,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",9,3.66197183,33.92307692,1242.25352113,,,210,,,,,,2025-06-21,2025-06-21
"publico concepcion","Video Lluvia","campaña ventas HotBoat - Lluvia",2025-06-20,"Bío Bío Region",1693,2016,1.19078559,CLP,2250,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",28,3.91865079,28.48101266,1116.07142857,,,532,,,,,,2025-06-20,2025-06-20
"publico concepcion","Video Lluvia","campaña ventas HotBoat - Lluvia",2025-06-19,"Bío Bío Region",602,615,1.02159468,CLP,705,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",10,2.43902439,47,1146.34146341,,,158,,,,,,2025-06-19,2025-06-19
"publico pucon 1","Video Lluvia","campaña ventas HotBoat - Lluvia",2025-06-22,"Los Ríos Region",21,22,1.04761905,CLP,15,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,9.09090909,7.5,681.81818182,,,6,,,,,,2025-06-22,2025-06-22
"publico pucon 1","Video Lluvia","campaña ventas HotBoat - Lluvia",2025-06-22,"Araucanía Region",1502,1884,1.25432756,CLP,2333,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",30,3.55626327,34.82089552,1238.32271762,,,444,,,,,,2025-06-22,2025-06-22
"Test Publicos : Temuco","Video Lluvia","campaña ventas HotBoat - Lluvia",2025-06-22,"Araucanía Region",1547,1824,1.17905624,CLP,2160,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",22,3.72807018,31.76470588,1184.21052632,,,503,,,,,,2025-06-22,2025-06-22
"publico pucon 1","Video Lluvia","campaña ventas HotBoat - Lluvia",2025-06-23,"Los Ríos Region",12,13,1.08333333,CLP,4,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,0,0,307.69230769,,,3,,,,,,2025-06-23,2025-06-23
"publico pucon 1","Video Lluvia","campaña ventas HotBoat - Lluvia",2025-06-23,"Araucanía Region",971,1164,1.19876416,CLP,1470,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",14,2.83505155,44.54545455,1262.88659794,,,227,,,,,,2025-06-23,2025-06-23
