"Nombre del conjunto de anuncios","Nombre del anuncio","Nombre de la campaña",Día,Región,Alcance,Impresiones,Frecuencia,Divisa,"Importe gastado (CLP)","Configuración de atribución","Clics en el enlace","CTR (todos)","CPC (todos)","CPM (costo por mil impresiones)","Artículos agregados al carrito",Compras,"Costo por artículo agregado al carrito","Reproducciones de video de 3 segundos","Reproducciones de video hasta el 25%","Reproducciones de video hasta el 50%","Reproducciones de video hasta el 75%","Reproducciones de video hasta el 95%","Reproducciones de video hasta el 100%","Inicio del informe","Fin del informe"
"publico pucon 1","Video Viral TikTok","campaña ventas HotBoat - Lluvia",2025-07-09,"Araucanía Region",2477,2868,1.15785224,CLP,3702,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",24,2.33612273,55.25373134,1290.79497908,,,,760,,,,,,2025-07-09,2025-07-09
"publico advantage","Video parejas dcto","campaña ventas HotBoat",2025-07-09,"Maule Region",3,3,1,CLP,3,"7 días tras clic o 1 día tras visualización",,0,0,1000,,,,,,,,,,2025-07-09,2025-07-09
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-07-09,"Araucanía Region",105,113,1.07619048,CLP,142,"7 días tras clic o 1 día tras visualización",3,4.42477876,28.4,1256.63716814,,,,38,,,,,,2025-07-09,2025-07-09
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-07-09,"Antofagasta Region",57,60,1.05263158,CLP,68,"7 días tras clic o 1 día tras visualización",1,3.33333333,34,1133.33333333,,,,16,,,,,,2025-07-09,2025-07-09
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-07-09,"Aysén Region",9,10,1.11111111,CLP,7,"7 días tras clic o 1 día tras visualización",,0,0,700,,,,3,,,,,,2025-07-09,2025-07-09
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-07-09,"Valparaíso Region",91,93,1.02197802,CLP,90,"7 días tras clic o 1 día tras visualización",4,8.60215054,11.25,967.74193548,,,,35,,,,,,2025-07-09,2025-07-09
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-07-09,"Arica y Parinacota Region",10,10,1,CLP,10,"7 días tras clic o 1 día tras visualización",1,20,5,1000,,,,6,,,,,,2025-07-09,2025-07-09
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-07-09,"Los Ríos Region",39,46,1.17948718,CLP,76,"7 días tras clic o 1 día tras visualización",1,2.17391304,76,1652.17391304,,,,11,,,,,,2025-07-09,2025-07-09
"publico advantage","Video parejas amor","campaña ventas HotBoat",2025-07-09,"Santiago Metropolitan Region",8,10,1.25,CLP,16,"7 días tras clic o 1 día tras visualización",,0,0,1600,,,,7,,,,,,2025-07-09,2025-07-09
"publico advantage","Video parejas amor","campaña ventas HotBoat",2025-07-09,"Maule Region",1,1,1,CLP,2,"7 días tras clic o 1 día tras visualización",,0,0,2000,,,,1,,,,,,2025-07-09,2025-07-09
