"Nombre del conjunto de anuncios","Nombre del anuncio","Nombre de la campaña",Día,Región,Alcance,Impresiones,Frecuencia,Divisa,"Importe gastado (CLP)","Configuración de atribución","Clics en el enlace","CTR (todos)","CPC (todos)","CPM (costo por mil impresiones)","Artículos agregados al carrito","Costo por artículo agregado al carrito","Reproducciones de video de 3 segundos","Reproducciones de video hasta el 25%","Reproducciones de video hasta el 50%","Reproducciones de video hasta el 75%","Reproducciones de video hasta el 95%","Reproducciones de video hasta el 100%","Inicio del informe","Fin del informe"
"publico pucon 1","Video Viral TikTok","campaña ventas HotBoat - Lluvia",2025-07-03,"Araucanía Region",1852,2089,1.12796976,CLP,2377,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",30,3.06366683,37.140625,1137.86500718,,,624,,,,,,2025-07-03,2025-07-03
"publico pucon 1","Video Viral TikTok","campaña ventas HotBoat - Lluvia",2025-07-03,"Los Ríos Region",60,64,1.06666667,CLP,56,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",2,1.5625,56,875,,,19,,,,,,2025-07-03,2025-07-03
"publico pucon 1","Video Lluvia","campaña ventas HotBoat - Lluvia",2025-07-03,"Araucanía Region",1130,1346,1.19115044,CLP,2352,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",15,2.00594354,87.11111111,1747.39970282,,,267,,,,,,2025-07-03,2025-07-03
"publico pucon 1","Video Lluvia","campaña ventas HotBoat - Lluvia",2025-07-03,"Los Ríos Region",20,23,1.15,CLP,34,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,4.34782609,34,1478.26086957,,,5,,,,,,2025-07-03,2025-07-03
"publico pucon 1","Video Viral TikTok","campaña ventas HotBoat - Lluvia",2025-07-02,"Araucanía Region",2705,3282,1.21330869,CLP,3670,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",57,4.11334552,27.18518519,1118.2205972,,,911,,,,,,2025-07-02,2025-07-02
"publico pucon 1","Video Viral TikTok","campaña ventas HotBoat - Lluvia",2025-07-02,"Los Ríos Region",77,84,1.09090909,CLP,62,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",1,3.57142857,20.66666667,738.0952381,,,31,,,,,,2025-07-02,2025-07-02
"publico pucon 1","Video Lluvia","campaña ventas HotBoat - Lluvia",2025-07-02,"Araucanía Region",1518,2028,1.33596838,CLP,3592,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",21,2.81065089,63.01754386,1771.20315582,,,429,,,,,,2025-07-02,2025-07-02
"publico pucon 1","Video Lluvia","campaña ventas HotBoat - Lluvia",2025-07-02,"Los Ríos Region",28,34,1.21428571,CLP,47,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",4,17.64705882,7.83333333,1382.35294118,,,9,,,,,,2025-07-02,2025-07-02
"publico pucon 1","Video Viral TikTok","campaña ventas HotBoat - Lluvia",2025-07-01,"Araucanía Region",3099,3529,1.13875444,CLP,3901,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",69,4.42051573,25.00641026,1105.4122981,,,1109,,,,,,2025-07-01,2025-07-01
"publico pucon 1","Video Viral TikTok","campaña ventas HotBoat - Lluvia",2025-07-01,"Los Ríos Region",87,99,1.13793103,CLP,69,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",1,4.04040404,17.25,696.96969697,,,35,,,,,,2025-07-01,2025-07-01
"publico pucon 1","Video Lluvia","campaña ventas HotBoat - Lluvia",2025-07-01,"Araucanía Region",1682,2173,1.29191439,CLP,4053,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",28,2.39300506,77.94230769,1865.16336861,,,428,,,,,,2025-07-01,2025-07-01
"publico pucon 1","Video Lluvia","campaña ventas HotBoat - Lluvia",2025-07-01,"Los Ríos Region",28,29,1.03571429,CLP,35,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,0,0,1206.89655172,,,6,,,,,,2025-07-01,2025-07-01
"publico pucon 1","Video Lluvia","campaña ventas HotBoat - Lluvia",2025-06-30,"Araucanía Region",1538,2050,1.33289987,CLP,4793,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",34,3.31707317,70.48529412,2338.04878049,,,444,,,,,,2025-06-30,2025-06-30
"publico pucon 1","Video Lluvia","campaña ventas HotBoat - Lluvia",2025-06-30,"Los Ríos Region",37,49,1.32432432,CLP,82,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",2,8.16326531,20.5,1673.46938776,,,17,,,,,,2025-06-30,2025-06-30
