"Nombre del conjunto de anuncios","Nombre del anuncio","Nombre de la campaña",Día,Alcance,Impresiones,Frecuencia,Divisa,"Importe gastado (CLP)","Configuración de atribución","Clics en el enlace","CTR (todos)","CPC (todos)","CPM (costo por mil impresiones)","Artículos agregados al carrito","Costo por artículo agregado al carrito","Reproducciones de video de 3 segundos","Reproducciones de video hasta el 25%","Reproducciones de video hasta el 50%","Reproducciones de video hasta el 75%","Reproducciones de video hasta el 95%","Reproducciones de video hasta el 100%","Inicio del informe","Fin del informe"
"publico pucon 1","Video Lluvia","campaña ventas HotBoat - Lluvia",2025-06-19,627,669,1.06698565,CLP,769,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",6,1.79372197,64.08333333,1149.47683109,,,144,20,9,6,4,4,2025-06-19,2025-06-19
"Test Publicos : Temuco","Video Lluvia","campaña ventas HotBoat - Lluvia",2025-06-22,1537,1824,1.18672739,CLP,2160,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",22,3.72807018,31.76470588,1184.21052632,,,503,91,49,29,23,18,2025-06-22,2025-06-22
"publico pucon 1","Video Lluvia","campaña ventas HotBoat - Lluvia",2025-06-22,1554,1906,1.22651223,CLP,2348,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",30,3.6201469,34.02898551,1231.89926548,,,450,80,36,28,16,13,2025-06-22,2025-06-22
"Test Publicos : Temuco","Video Lluvia","campaña ventas HotBoat - Lluvia",2025-06-21,612,710,1.16013072,CLP,882,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",9,3.66197183,33.92307692,1242.25352113,,,210,26,14,10,9,4,2025-06-21,2025-06-21
"publico pucon 1","Video Lluvia","campaña ventas HotBoat - Lluvia",2025-06-21,366,430,1.17486339,CLP,422,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",8,3.95348837,24.82352941,981.39534884,,,81,18,11,9,5,5,2025-06-21,2025-06-21
"publico concepcion","Video Lluvia","campaña ventas HotBoat - Lluvia",2025-06-20,1718,2016,1.17345751,CLP,2250,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",28,3.91865079,28.48101266,1116.07142857,,,532,90,43,30,22,13,2025-06-20,2025-06-20
"publico concepcion","Video Lluvia","campaña ventas HotBoat - Lluvia",2025-06-22,1923,2179,1.13312533,CLP,2464,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",28,4.03854979,28,1130.79394218,,,565,100,41,30,21,14,2025-06-22,2025-06-22
"publico pucon 1","Video Lluvia","campaña ventas HotBoat - Lluvia",2025-06-23,967,1177,1.21716649,CLP,1474,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",14,2.80373832,44.66666667,1252.3364486,2,737,230,46,25,16,13,8,2025-06-23,2025-06-23
"Test Publicos : Temuco","Video Lluvia","campaña ventas HotBoat - Lluvia",2025-06-23,1045,1138,1.08899522,CLP,1530,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",12,2.89982425,46.36363636,1344.46397188,,,277,45,16,12,6,4,2025-06-23,2025-06-23
"publico concepcion","Video Lluvia","campaña ventas HotBoat - Lluvia",2025-06-21,1247,1448,1.16118685,CLP,1502,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",21,3.72928177,27.81481481,1037.29281768,,,367,61,26,17,11,7,2025-06-21,2025-06-21
"Test Publicos : Temuco","Video Lluvia","campaña ventas HotBoat - Lluvia",2025-06-20,1565,1771,1.13162939,CLP,2239,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",22,3.27498588,38.60344828,1264.25748165,,,483,89,38,23,18,16,2025-06-20,2025-06-20
"publico pucon 1","Video Lluvia","campaña ventas HotBoat - Lluvia",2025-06-20,2213,2810,1.26976954,CLP,3243,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",43,3.77224199,30.59433962,1154.09252669,,,624,119,67,51,33,26,2025-06-20,2025-06-20
"Test Publicos : Temuco","Video Lluvia","campaña ventas HotBoat - Lluvia",2025-06-19,539,573,1.06307978,CLP,857,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",8,2.96684119,50.41176471,1495.63699825,,,149,32,17,10,8,3,2025-06-19,2025-06-19
"publico concepcion","Video Lluvia","campaña ventas HotBoat - Lluvia",2025-06-23,1267,1436,1.13338595,CLP,1650,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",14,3.20334262,35.86956522,1149.02506964,,,334,49,21,14,9,6,2025-06-23,2025-06-23
"publico concepcion","Video Lluvia","campaña ventas HotBoat - Lluvia",2025-06-19,604,615,1.01821192,CLP,705,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",10,2.43902439,47,1146.34146341,,,158,34,17,12,7,6,2025-06-19,2025-06-19
"publico concepcion","Video pareja dcto","campaña ventas HotBoat",2025-06-19,98,118,1.20408163,CLP,261,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",2,2.54237288,87,2211.86440678,,,41,3,1,,,,2025-06-19,2025-06-19
"publico concepcion","Video parejas amor","campaña ventas HotBoat",2025-06-19,8,8,1,CLP,23,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,0,0,2875,,,5,1,,,,,2025-06-19,2025-06-19
"publico pucon 1","Video explicando servicio corto","campaña ventas HotBoat",2025-06-05,115,123,1.06956522,CLP,201,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",2,3.25203252,50.25,1634.14634146,,,32,29,20,13,4,3,2025-06-05,2025-06-05
