"Nombre del conjunto de anuncios","Nombre del anuncio","Nombre de la campaña",Día,Alcance,Impresiones,Frecuencia,Divisa,"Importe gastado (CLP)","Configuración de atribución","Clics en el enlace","CTR (todos)","CPC (todos)","CPM (costo por mil impresiones)","Artículos agregados al carrito","Costo por artículo agregado al carrito","Reproducciones de video de 3 segundos","Reproducciones de video hasta el 25%","Reproducciones de video hasta el 50%","Reproducciones de video hasta el 75%","Reproducciones de video hasta el 95%","Reproducciones de video hasta el 100%","Inicio del informe","Fin del informe"
"publico advantage","Video Lluvia","campaña ventas HotBoat",2025-07-03,8,9,1.125,CLP,18,"7 días tras clic o 1 día tras visualización",,0,0,2000,,,3,1,,,,,2025-07-03,2025-07-03
"Test Publicos : Temuco","Video Lluvia","campaña ventas HotBoat",2025-07-03,20,22,1.1,CLP,25,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,0,0,1136.36363636,,,4,1,1,,,,2025-07-03,2025-07-03
"publico pucon 1","Video pareja dcto","campaña ventas HotBoat",2025-07-03,1106,1325,1.19801085,CLP,2410,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",15,2.64150943,68.85714286,1818.86792453,,,388,40,11,4,2,2,2025-07-03,2025-07-03
"publico concepcion","Video explicando servicio corto","campaña ventas HotBoat",2025-07-03,1413,1527,1.08067941,CLP,1194,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",24,3.66732155,21.32142857,781.92534381,,,481,327,226,133,79,66,2025-07-03,2025-07-03
"publico valdivia","Video explicando servicio corto","campaña ventas HotBoat",2025-07-03,1419,1541,1.08597604,CLP,1176,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",32,4.08825438,18.66666667,763.14081765,,,483,341,246,169,88,78,2025-07-03,2025-07-03
"Test Publicos : Temuco","Video parejas amor","campaña ventas HotBoat",2025-07-03,672,756,1.125,CLP,1274,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",10,2.64550265,63.7,1685.18518519,,,251,28,6,1,1,1,2025-07-03,2025-07-03
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-07-03,1115,1240,1.11210762,CLP,1167,"7 días tras clic o 1 día tras visualización",25,5.08064516,18.52380952,941.12903226,,,380,272,188,129,68,59,2025-07-03,2025-07-03
"publico advantage","Video parejas amor","campaña ventas HotBoat",2025-07-03,2,2,1,CLP,1,"7 días tras clic o 1 día tras visualización",,0,0,500,,,,,,,,,2025-07-03,2025-07-03
"publico advantage","Video parejas dcto","campaña ventas HotBoat",2025-07-03,7,7,1,CLP,9,"7 días tras clic o 1 día tras visualización",,0,0,1285.71428571,,,5,,,,,,2025-07-03,2025-07-03
"publico pucon 1","Video explicando servicio corto","campaña ventas HotBoat",2025-07-03,61,69,1.13114754,CLP,127,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",4,7.24637681,25.4,1840.57971014,,,15,10,9,7,5,5,2025-07-03,2025-07-03
"Test Publicos : Temuco","Video parejas amor","campaña ventas HotBoat",2025-07-02,658,802,1.21884498,CLP,1676,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",10,2.24438903,93.11111111,2089.7755611,,,252,25,8,3,2,2,2025-07-02,2025-07-02
"publico pucon 1","Video explicando servicio corto","campaña ventas HotBoat",2025-07-02,863,961,1.11355736,CLP,1155,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",24,4.78668054,25.10869565,1201.87304891,,,295,232,162,110,61,57,2025-07-02,2025-07-02
"publico advantage","Video parejas dcto","campaña ventas HotBoat",2025-07-02,6,8,1.33333333,CLP,6,"7 días tras clic o 1 día tras visualización",,0,0,750,,,3,,,,,,2025-07-02,2025-07-02
"publico advantage","Video parejas amor","campaña ventas HotBoat",2025-07-02,2,2,1,CLP,10,"7 días tras clic o 1 día tras visualización",,0,0,5000,,,2,,,,,,2025-07-02,2025-07-02
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-07-02,1912,2173,1.13650628,CLP,2171,"7 días tras clic o 1 día tras visualización",46,4.32581684,23.09574468,999.07961344,,,623,442,323,222,113,106,2025-07-02,2025-07-02
"Test Publicos : Temuco","Video Lluvia","campaña ventas HotBoat",2025-07-02,23,26,1.13043478,CLP,25,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",1,3.84615385,25,961.53846154,,,4,,,,,,2025-07-02,2025-07-02
"publico valdivia","Video explicando servicio corto","campaña ventas HotBoat",2025-07-02,2398,2687,1.1205171,CLP,2150,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",33,2.8284332,28.28947368,800.14886491,,,809,544,385,244,132,119,2025-07-02,2025-07-02
"publico concepcion","Video explicando servicio corto","campaña ventas HotBoat",2025-07-02,2363,2599,1.09987304,CLP,2076,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",50,4.11696806,19.40186916,798.76875721,,,793,571,392,242,129,117,2025-07-02,2025-07-02
"publico pucon 1","Video pareja dcto","campaña ventas HotBoat",2025-07-02,1410,1837,1.30283688,CLP,3050,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",25,3.10288514,53.50877193,1660.31573217,2,1525,536,75,28,21,16,13,2025-07-02,2025-07-02
"publico advantage","Video Lluvia","campaña ventas HotBoat",2025-07-02,15,15,1,CLP,17,"7 días tras clic o 1 día tras visualización",1,13.33333333,8.5,1133.33333333,,,2,1,1,,,,2025-07-02,2025-07-02
