"Nombre del anuncio",Día,Alcance,Impresiones,Frecuencia,Compras,Divisa,"Importe gastado (CLP)","Configuración de atribución","Clics en el enlace","CTR (todos)","CPC (todos)","CPM (costo por mil impresiones)","Artículos agregados al carrito","Costo por artículo agregado al carrito","Reproducciones de video de 3 segundos","Reproducciones de video hasta el 25%","Reproducciones de video hasta el 50%","Reproducciones de video hasta el 75%","Reproducciones de video hasta el 95%","Reproducciones de video hasta el 100%","Costo por compra","Inicio del informe","Fin del informe"
"Video flo",2025-08-07,120,126,1.05,,CLP,154,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",3,3.96825397,30.8,1222.22222222,,,21,13,10,8,5,5,,2025-08-07,2025-08-07
"Video Lluvia Reseña",2025-08-07,89,114,1.28089888,,CLP,296,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",3,4.38596491,59.2,2596.49122807,,,24,3,3,2,2,2,,2025-08-07,2025-08-07
"Video explicando servicio corto",2025-08-07,348,354,1.01724138,,CLP,362,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",6,4.23728814,24.13333333,1022.59887006,,,110,84,60,42,23,22,,2025-08-07,2025-08-07
"Video explicando servicio corto",2025-08-07,179,189,1.05586592,,CLP,177,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,1.05820106,88.5,936.50793651,,,52,29,16,11,8,7,,2025-08-07,2025-08-07
"Video parejas amor",2025-08-07,87,101,1.16091954,,CLP,227,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",2,5.94059406,37.83333333,2247.52475248,,,35,3,1,1,1,1,,2025-08-07,2025-08-07
"Video Lluvia",2025-08-07,15,24,1.6,,CLP,34,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",1,4.16666667,34,1416.66666667,,,3,1,,,,,,2025-08-07,2025-08-07
"Video Lluvia",2025-08-07,238,265,1.11344538,,CLP,433,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",3,3.39622642,48.11111111,1633.96226415,,,75,12,7,7,4,4,,2025-08-07,2025-08-07
"Video explicando servicio corto",2025-08-07,50,53,1.06,,CLP,68,"7 días tras clic o 1 día tras visualización",,3.77358491,34,1283.01886792,,,15,8,7,4,2,2,,2025-08-07,2025-08-07
"Video Lluvia",2025-08-07,27,30,1.11111111,,CLP,82,"7 días tras clic o 1 día tras visualización",,3.33333333,82,2733.33333333,,,5,2,1,1,1,,,2025-08-07,2025-08-07
"Video Lluvia",2025-08-07,116,138,1.18965517,,CLP,216,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",1,1.44927536,108,1565.2173913,,,19,4,3,3,2,1,,2025-08-07,2025-08-07
"Video Viral TikTok",2025-08-07,264,297,1.125,,CLP,398,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",3,3.03030303,44.22222222,1340.06734007,,,68,15,8,7,3,2,,2025-08-07,2025-08-07
"Video parejas amor",2025-08-07,7,7,1,,CLP,11,"7 días tras clic o 1 día tras visualización",,0,0,1571.42857143,,,2,1,,,,,,2025-08-07,2025-08-07
"Video Martin gallardo",2025-08-07,281,297,1.0569395,,CLP,381,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",6,3.36700337,38.1,1282.82828283,,,63,40,33,28,22,19,,2025-08-07,2025-08-07
"Video Lluvia",2025-08-07,86,99,1.15116279,,CLP,245,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,2.02020202,122.5,2474.74747475,,,17,1,1,1,1,1,,2025-08-07,2025-08-07
"Video Explicando servicio corto",2025-08-07,270,275,1.01851852,,CLP,297,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",2,2.90909091,37.125,1080,,,80,40,19,14,10,6,,2025-08-07,2025-08-07
"Video Lluvia",2025-08-06,11,11,1,,CLP,17,"7 días tras clic o 1 día tras visualización",,9.09090909,17,1545.45454545,,,3,,,,,,,2025-08-06,2025-08-06
"Video explicando servicio corto",2025-08-06,1347,1533,1.13808463,,CLP,1366,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",22,3.91389432,22.76666667,891.06327462,,,443,306,219,136,86,72,,2025-08-06,2025-08-06
"Video Explicando servicio corto",2025-08-06,854,972,1.1381733,,CLP,1096,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",23,3.90946502,28.84210526,1127.57201646,,,243,102,67,48,21,14,,2025-08-06,2025-08-06
"Video parejas amor",2025-08-06,390,429,1.1,,CLP,697,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",5,2.33100233,69.7,1624.70862471,,,142,12,3,1,1,1,,2025-08-06,2025-08-06
"Video explicando servicio corto",2025-08-06,639,712,1.114241,,CLP,830,"7 días tras clic o 1 día tras visualización",11,4.91573034,23.71428571,1165.73033708,,,184,133,90,55,27,25,,2025-08-06,2025-08-06
"Video Lluvia",2025-08-06,744,864,1.16129032,,CLP,1311,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",9,2.5462963,59.59090909,1517.36111111,,,184,23,10,4,2,1,,2025-08-06,2025-08-06
"Video Martin gallardo",2025-08-06,1019,1192,1.16977429,,CLP,1468,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",20,3.77516779,32.62222222,1231.54362416,,,286,167,142,114,96,73,,2025-08-06,2025-08-06
"Video parejas amor",2025-08-06,22,22,1,,CLP,33,"7 días tras clic o 1 día tras visualización",,0,0,1500,,,9,1,,,,,,2025-08-06,2025-08-06
"Video Viral TikTok",2025-08-06,903,1095,1.21262458,,CLP,1469,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",14,2.19178082,61.20833333,1341.55251142,3,489.66666667,277,45,27,20,16,9,,2025-08-06,2025-08-06
