Costo diario google ads
10 de marzo de 2025 - 10 de agosto de 2025
Día,Campaña,Código de moneda,Coste,Conversiones,Clics,CPC medio
2025-08-10,HotBoat Araucanía Español,CLP,3095,"0,00",4,774
2025-08-10,HotBoat Araucanía Ingles,CLP,1015,"0,00",1,1015
2025-08-09,HotBoat Araucanía Español,CLP,3593,"0,00",12,299
2025-08-09,HotBoat Araucanía Ingles,CLP,533,"0,00",1,533
2025-08-08,HotBoat Araucanía Español,CLP,6223,"0,00",16,389
2025-08-08,HotBoat Araucanía Ingles,CLP,668,"0,00",1,668
2025-08-07,HotBoat Araucanía Español,CLP,5814,"0,00",6,969
2025-08-07,HotBoat Araucanía Ingles,CLP,1356,"0,00",1,1356
2025-08-06,HotBoat Araucanía Español,CLP,3090,"0,00",9,343
2025-08-06,HotBoat Araucanía Ingles,CLP,1371,"0,00",1,1371
2025-08-05,HotBoat Araucanía Español,CLP,1509,"0,00",4,377
2025-08-05,HotBoat Araucanía Ingles,CLP,1339,"0,00",1,1339
2025-08-04,HotBoat Araucanía Español,CLP,0,"0,00",0,0
2025-08-04,HotBoat Araucanía Ingles,CLP,1570,"0,00",1,1570
2025-08-03,HotBoat Araucanía Español,CLP,1185,"0,00",2,592
2025-08-03,HotBoat Araucanía Ingles,CLP,1222,"0,00",1,1222
2025-08-02,HotBoat Araucanía Español,CLP,2399,"0,00",3,800
2025-08-02,HotBoat Araucanía Ingles,CLP,1657,"0,00",1,1657
2025-08-01,HotBoat Araucanía Español,CLP,3495,"0,00",4,874
2025-08-01,HotBoat Araucanía Ingles,CLP,0,"0,00",0,0
2025-07-31,HotBoat Araucanía Español,CLP,4407,"0,00",9,490
2025-07-31,HotBoat Araucanía Ingles,CLP,691,"0,00",1,691
2025-07-30,HotBoat Araucanía Español,CLP,5997,"0,00",7,857
2025-07-30,HotBoat Araucanía Ingles,CLP,1530,"0,00",1,1530
2025-07-29,HotBoat Araucanía Español,CLP,5964,"0,00",6,994
2025-07-29,HotBoat Araucanía Ingles,CLP,0,"0,00",0,0
2025-07-28,HotBoat Araucanía Español,CLP,5149,"0,00",12,429
2025-07-28,HotBoat Araucanía Ingles,CLP,0,"0,00",0,0
2025-07-27,HotBoat Araucanía Español,CLP,1430,"0,00",12,119
2025-07-27,HotBoat Araucanía Ingles,CLP,2829,"0,00",2,1415
2025-07-26,HotBoat Araucanía Español,CLP,1013,"0,00",13,78
2025-07-26,HotBoat Araucanía Ingles,CLP,761,"0,00",1,761
2025-07-25,HotBoat Araucanía Español,CLP,316,"0,00",5,63
2025-07-25,HotBoat Araucanía Ingles,CLP,625,"0,00",1,625
2025-07-24,HotBoat Araucanía Español,CLP,357,"0,00",4,89
2025-07-24,HotBoat Araucanía Ingles,CLP,2431,"0,00",2,1216
2025-07-23,HotBoat Araucanía Español,CLP,1562,"0,00",6,260
2025-07-23,HotBoat Araucanía Ingles,CLP,1033,"0,00",2,516
2025-07-22,HotBoat Araucanía Español,CLP,82,"0,00",1,82
2025-07-22,HotBoat Araucanía Ingles,CLP,1011,"0,00",1,1011
2025-07-21,HotBoat Araucanía Español,CLP,2797,"0,00",5,559
2025-07-21,HotBoat Araucanía Ingles,CLP,1028,"0,00",1,1028
2025-07-20,HotBoat Araucanía Español,CLP,2230,"0,00",9,248
2025-07-20,HotBoat Araucanía Ingles,CLP,146,"0,00",1,146
2025-07-19,HotBoat Araucanía Español,CLP,3228,"0,00",12,269
2025-07-19,HotBoat Araucanía Ingles,CLP,1580,"0,00",1,1580
2025-07-18,HotBoat Araucanía Español,CLP,4485,"0,00",2,2242
2025-07-18,HotBoat Araucanía Ingles,CLP,1199,"0,00",1,1199
2025-07-17,HotBoat Araucanía Español,CLP,3705,"0,00",2,1853
2025-07-17,HotBoat Araucanía Ingles,CLP,1174,"0,00",1,1174
2025-07-16,HotBoat Araucanía Español,CLP,3412,"0,00",1,3412
2025-07-16,HotBoat Araucanía Ingles,CLP,1754,"0,00",1,1754
2025-07-15,HotBoat Araucanía Español,CLP,3288,"0,00",7,470
2025-07-15,HotBoat Araucanía Ingles,CLP,461,"0,00",1,461
2025-07-14,HotBoat Araucanía Español,CLP,962,"0,00",12,80
2025-07-14,HotBoat Araucanía Ingles,CLP,466,"0,00",1,466
2025-07-13,HotBoat Araucanía Español,CLP,1431,"0,00",15,95
2025-07-13,HotBoat Araucanía Ingles,CLP,933,"0,00",3,311
2025-07-12,HotBoat Araucanía Español,CLP,1244,"0,00",13,96
2025-07-12,HotBoat Araucanía Ingles,CLP,982,"0,00",1,982
2025-07-11,HotBoat Araucanía Español,CLP,1872,"0,00",8,234
2025-07-11,HotBoat Araucanía Ingles,CLP,0,"0,00",0,0
2025-07-10,HotBoat Araucanía Español,CLP,1456,"0,00",8,182
2025-07-10,HotBoat Araucanía Ingles,CLP,967,"0,00",1,967
2025-07-09,HotBoat Araucanía Español,CLP,2644,"0,00",9,294
2025-07-09,HotBoat Araucanía Ingles,CLP,570,"0,00",1,570
2025-07-08,HotBoat Araucanía Español,CLP,1220,"0,00",8,153
2025-07-08,HotBoat Araucanía Ingles,CLP,999,"0,00",1,999
2025-07-07,HotBoat Araucanía Español,CLP,889,"0,00",8,111
2025-07-07,HotBoat Araucanía Ingles,CLP,0,"0,00",0,0
2025-07-06,HotBoat Araucanía Español,CLP,1335,"0,00",12,111
2025-07-06,HotBoat Araucanía Ingles,CLP,0,"0,00",0,0
2025-07-05,HotBoat Araucanía Español,CLP,993,"0,00",12,83
2025-07-05,HotBoat Araucanía Ingles,CLP,395,"0,00",1,395
2025-07-04,HotBoat Araucanía Español,CLP,1550,"0,00",7,221
2025-07-04,HotBoat Araucanía Ingles,CLP,0,"0,00",0,0
2025-07-03,HotBoat Araucanía Español,CLP,2127,"0,00",6,354
2025-07-03,HotBoat Araucanía Ingles,CLP,1440,"0,00",2,720
2025-07-02,HotBoat Araucanía Español,CLP,1551,"0,00",7,222
2025-07-02,HotBoat Araucanía Ingles,CLP,569,"0,00",1,569
