"Nombre del anuncio",Día,"Nombre de la campaña","Nombre del conjunto de anuncios",Alcance,Impresiones,Frecuencia,Compras,Divisa,"Importe gastado (CLP)","Clics en el enlace","CTR (todos)","CPC (todos)","CPM (costo por mil impresiones)","Artículos agregados al carrito","Costo por artículo agregado al carrito","Reproducciones de video de 3 segundos","Reproducciones de video hasta el 25%","Reproducciones de video hasta el 50%","Reproducciones de video hasta el 75%","Reproducciones de video hasta el 95%","Reproducciones de video hasta el 100%","Costo por compra","Inicio del informe","Fin del informe","agrego al carrito tom (compro)","Costo por agrego al carrito tom (compro)","Hizo el pago","Costo por Hizo el pago","Interacción con la página","Intento pagar","Conversaciones con mensajes iniciadas"
Stefideviaje,2025-09-15,"campaña Cliente Potenciales HotBoat","publico pucon 1",1277,1486,1.16366484,1,CLP,2067,16,3.0282638,45.93333333,1390.98250336,8,258.375,379,142,110,89,69,58,2067,2025-09-15,2025-09-15,8,258.375,,,411,,8
"Video explicando servicio corto",2025-09-15,"campaña Cliente Potenciales HotBoat","publico pucon 1",920,1026,1.11521739,1,CLP,1174,8,3.41130604,33.54285714,1144.24951267,,,344,239,174,128,69,54,1174,2025-09-15,2025-09-15,,,,,360,,6
"Video Lluvia",2025-09-14,"campaña Cliente Potenciales HotBoat","Test Publicos : Temuco",42,43,1.02380952,,CLP,41,,0,0,953.48837209,,,8,2,1,,,,,2025-09-14,2025-09-14,,,,,8,,
"Video parejas amor",2025-09-18,"campaña Cliente Potenciales HotBoat","publico pucon 1",2,2,1,,CLP,4,,0,0,2000,,,1,1,1,,,,,2025-09-18,2025-09-18,,,,,1,,
Stefideviaje,2025-09-18,"campaña Cliente Potenciales HotBoat","publico concepcion",842,883,1.04869359,,CLP,862,15,4.64326161,21.02439024,976.21744054,,,291,112,84,67,41,29,,2025-09-18,2025-09-18,,,,,322,,10
"Video parejas amor",2025-09-10,"campaña Cliente Potenciales HotBoat","publico concepcion",189,212,1.12169312,,CLP,370,2,1.88679245,92.5,1745.28301887,,,92,9,1,1,,,,2025-09-10,2025-09-10,,,,,96,,1
"Video parejas amor",2025-09-11,"campaña Cliente Potenciales HotBoat","publico concepcion",395,442,1.11898734,,CLP,934,5,2.26244344,93.4,2113.12217195,,,173,24,9,6,4,4,,2025-09-11,2025-09-11,,,,,181,,3
"Video parejas amor",2025-09-12,"campaña Cliente Potenciales HotBoat","publico concepcion",64,66,1.03125,,CLP,86,,3.03030303,43,1303.03030303,,,28,2,,,,,,2025-09-12,2025-09-12,,,,,28,,
"Video parejas amor",2025-09-14,"campaña Cliente Potenciales HotBoat","publico concepcion",196,210,1.07142857,,CLP,391,2,4.28571429,43.44444444,1861.9047619,,,81,10,6,4,4,3,,2025-09-14,2025-09-14,,,,,84,,2
"Video parejas amor",2025-09-15,"campaña Cliente Potenciales HotBoat","publico concepcion",355,375,1.05633803,,CLP,397,1,1.6,66.16666667,1058.66666667,,,147,16,9,5,3,3,,2025-09-15,2025-09-15,,,,,150,,
"Video parejas amor",2025-09-16,"campaña Cliente Potenciales HotBoat","publico concepcion",3,3,1,,CLP,2,,0,0,666.66666667,,,,,,,,,,2025-09-16,2025-09-16,,,,,,,
"Video parejas amor",2025-09-18,"campaña Cliente Potenciales HotBoat","publico concepcion",3,3,1,,CLP,2,,0,0,666.66666667,,,,,,,,,,2025-09-18,2025-09-18,,,,,,,
"Video parejas amor",2025-09-14,"campaña Cliente Potenciales HotBoat","publico pucon 1",133,141,1.06015038,,CLP,134,1,1.41843972,67,950.35460993,,,57,3,,,,,,2025-09-14,2025-09-14,,,,,59,,
"Video parejas amor",2025-09-15,"campaña Cliente Potenciales HotBoat","publico pucon 1",32,39,1.21875,,CLP,87,1,2.56410256,87,2230.76923077,,,17,2,2,2,2,1,,2025-09-15,2025-09-15,,,,,18,,
"Video parejas amor",2025-09-16,"campaña Cliente Potenciales HotBoat","publico pucon 1",84,93,1.10714286,,CLP,178,,2.15053763,89,1913.97849462,,,32,2,1,,,,,2025-09-16,2025-09-16,,,,,33,,
"Video parejas amor",2025-09-17,"campaña Cliente Potenciales HotBoat","publico pucon 1",20,21,1.05,,CLP,47,,0,0,2238.0952381,,,7,,,,,,,2025-09-17,2025-09-17,,,,,7,,
"Video explicando servicio corto",2025-09-14,"campaña Cliente Potenciales HotBoat","publico pucon 1",889,973,1.09448819,,CLP,1132,6,3.69989723,31.44444444,1163.41212744,,,340,248,180,131,77,62,,2025-09-14,2025-09-14,,,,,359,,3
Stefideviaje,2025-09-16,"campaña Cliente Potenciales HotBoat","publico concepcion",1041,1130,1.08549472,,CLP,1274,9,3.53982301,31.85,1127.43362832,,,369,135,108,78,54,39,,2025-09-16,2025-09-16,,,,,397,,9
"Video explicando servicio corto",2025-09-16,"campaña Cliente Potenciales HotBoat","publico pucon 1",1603,1930,1.20399251,,CLP,2301,16,3.41968912,34.86363636,1192.22797927,,,639,481,340,235,132,115,,2025-09-16,2025-09-16,,,,,690,,10
"Video explicando servicio corto",2025-09-17,"campaña Cliente Potenciales HotBoat","publico pucon 1",1837,2264,1.2324442,,CLP,2684,22,3.48939929,33.97468354,1185.51236749,,,743,562,405,289,160,144,,2025-09-17,2025-09-17,,,,,793,,7
"Video explicando servicio corto",2025-09-18,"campaña Cliente Potenciales HotBoat","publico pucon 1",1227,1386,1.12958435,,CLP,1542,10,3.17460317,35.04545455,1112.55411255,,,475,364,266,184,114,93,,2025-09-18,2025-09-18,,,,,496,,6
"Video explicando servicio corto",2025-09-10,"campaña Cliente Potenciales HotBoat","publico concepcion",35,35,1,,CLP,38,,0,0,1085.71428571,,,14,13,10,7,3,3,,2025-09-10,2025-09-10,,,,,14,,
"Video explicando servicio corto",2025-09-13,"campaña Cliente Potenciales HotBoat","publico concepcion",591,664,1.12351946,,CLP,823,5,3.31325301,37.40909091,1239.45783133,,,270,202,152,102,43,39,,2025-09-13,2025-09-13,,,,,287,,2
"Video explicando servicio corto",2025-09-14,"campaña Cliente Potenciales HotBoat","publico concepcion",147,156,1.06122449,,CLP,227,3,3.20512821,45.4,1455.12820513,,,58,39,30,20,13,11,,2025-09-14,2025-09-14,,,,,63,,2
"Video explicando servicio corto",2025-09-15,"campaña Cliente Potenciales HotBoat","publico concepcion",940,994,1.05744681,,CLP,881,4,2.51509054,35.24,886.31790744,,,353,234,168,121,73,65,,2025-09-15,2025-09-15,,,,,370,,1
"Video explicando servicio corto",2025-09-16,"campaña Cliente Potenciales HotBoat","publico concepcion",138,153,1.10869565,,CLP,161,4,4.5751634,23,1052.2875817,,,49,33,24,16,10,8,,2025-09-16,2025-09-16,,,,,57,,1
"Video explicando servicio corto",2025-09-17,"campaña Cliente Potenciales HotBoat","publico concepcion",302,314,1.0397351,,CLP,276,1,4.45859873,19.71428571,878.98089172,,,125,97,68,48,26,22,,2025-09-17,2025-09-17,,,,,135,,
