gasto diario en google ads
10 de marzo de 2025 - 19 de mayo de 2025
Día,Campaña,Conversiones,Código de moneda,Costo,Prom. CPC
2025-03-17,Campaign #1,0.00,CLP,0,0
2025-03-18,Campaign #1,27.00,CLP,1428,84
2025-03-19,Campaign #1,52.00,CLP,5098,68
2025-03-20,Campaign #1,37.01,CLP,4361,66
2025-03-21,Campaign #1,25.00,CLP,2598,108
2025-03-22,Campaign #1,34.00,CLP,2454,57
2025-03-23,Campaign #1,44.07,CLP,1763,57
2025-03-24,Campaign #1,33.92,CLP,2972,80
2025-03-25,Campaign #1,39.00,CLP,2531,63
2025-03-26,Campaign #1,18.00,CLP,2253,52
