Mes,Beginning_Balance,Ending_Balance,Ingresos_Operativos,Inversiones,Otros_Ingresos,Total_Ingresos,Costos_Fijos,Costos_Variables,Marketing,CAPEX,Total_Gastos,Net_Cash_Flow,Ending_Balance_Flow
2024-09,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2024-12,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2025-01,,515547.0,404950.0,2000000.0,141001.0,2545951.0,223130.0,284505.0,46387.0,596182.0,1150204.0,1395747.0,
2025-02,515547.0,673357.0,1780000.0,0.0,185305.0,1965305.0,533787.0,882291.0,436489.0,1097963.0,2950530.0,-985225.0,-469678.0
2025-03,673357.0,373357.0,2568649.0,0.0,275672.0,2844321.0,531955.0,466545.0,208710.0,71250.0,1278460.0,1565861.0,2239218.0
2025-04,373357.0,146081.0,964015.0,1727805.0,0.0,2691820.0,360373.0,573573.0,110849.0,502944.0,1547739.0,1144081.0,1517438.0
2025-05,146081.0,104199.0,1333666.0,2724685.0,160203.0,4218554.0,320277.0,520993.0,178917.0,357300.0,1377487.0,2841067.0,2987148.0
2025-06,104199.0,1567703.0,1324526.0,0.0,178443.0,1502969.0,613584.0,335402.0,489636.0,0.0,1438622.0,64347.0,168546.0
2025-07,1567703.0,88199.0,1820835.0,2600000.0,471367.0,4892202.0,527572.0,1019019.0,280438.0,2780760.0,4607789.0,284413.0,1852116.0
2025-08,88199.0,23199.0,2674541.0,2700000.0,0.0,5374541.0,1206926.0,969707.0,401136.0,907596.0,3485365.0,1889176.0,1977375.0
2025-09,23199.0,646133.0,0.0,0.0,0.0,0.0,110000.0,0.0,0.0,0.0,110000.0,-110000.0,-86801.0
2025-10,646133.0,2436186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,646133.0
2025-11,2436186.0,75624.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2436186.0
2025-12,75624.0,223606.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75624.0
NaT,223606.0,5123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223606.0
