periodo,Ingresos Operativos,Costo Operativo,Utilidad Bruta,Costos de Marketing,Resultado Operativo,Costos Fijos,Resultado Final
2024-08-31,0.0,35000.0,-35000.0,0.0,-35000.0,0.0,-35000.0
2024-09-17,69990.0,35000.0,34990.0,0.0,34990.0,0.0,34990.0
2024-09-18,59990.0,35000.0,24990.0,0.0,24990.0,0.0,24990.0
2024-09-25,69990.0,35000.0,34990.0,0.0,34990.0,0.0,34990.0
2024-09-29,69990.0,35000.0,34990.0,0.0,34990.0,0.0,34990.0
2025-01-11,179960.0,35000.0,144960.0,0.0,144960.0,0.0,144960.0
2025-01-12,164970.0,35000.0,129970.0,0.0,129970.0,0.0,129970.0
2025-01-14,197940.0,35000.0,162940.0,0.0,162940.0,190000.0,-27060.0
2025-01-15,179960.0,35000.0,144960.0,0.0,144960.0,0.0,144960.0
2025-01-18,194950.0,35000.0,159950.0,0.0,159950.0,0.0,159950.0
2025-01-19,139980.0,35000.0,104980.0,0.0,104980.0,0.0,104980.0
2025-01-20,194950.0,35000.0,159950.0,0.0,159950.0,0.0,159950.0
2025-01-23,139980.0,35000.0,104980.0,0.0,104980.0,0.0,104980.0
2025-01-24,179960.0,35000.0,144960.0,0.0,144960.0,0.0,144960.0
2025-01-25,319940.0,70000.0,249940.0,0.0,249940.0,0.0,249940.0
2025-01-26,164970.0,35000.0,129970.0,0.0,129970.0,0.0,129970.0
2025-01-28,194950.0,35000.0,159950.0,0.0,159950.0,0.0,159950.0
2025-01-30,179960.0,35000.0,144960.0,0.0,144960.0,0.0,144960.0
2025-01-31,179960.0,35000.0,144960.0,0.0,144960.0,0.0,144960.0
2025-02-01,190000.0,35000.0,155000.0,0.0,155000.0,0.0,155000.0
2025-02-02,150000.0,35000.0,115000.0,0.0,115000.0,0.0,115000.0
2025-02-04,395880.0,70000.0,325880.0,0.0,325880.0,19142.0,306738.0
2025-02-05,374910.0,70000.0,304910.0,0.0,304910.0,0.0,304910.0
2025-02-06,197940.0,35000.0,162940.0,0.0,162940.0,0.0,162940.0
2025-02-09,139980.0,35000.0,104980.0,0.0,104980.0,0.0,104980.0
2025-02-10,392890.0,70000.0,322890.0,0.0,322890.0,0.0,322890.0
2025-02-11,194950.0,35000.0,159950.0,0.0,159950.0,0.0,159950.0
2025-02-13,349930.0,105000.0,244930.0,0.0,244930.0,0.0,244930.0
2025-02-14,587840.0,105000.0,482840.0,0.0,482840.0,0.0,482840.0
2025-02-15,179960.0,70000.0,109960.0,0.0,109960.0,0.0,109960.0
2025-02-16,305942.0,70000.0,235942.0,0.0,235942.0,0.0,235942.0
2025-02-17,514910.0,105000.0,409910.0,0.0,409910.0,13873.0,396037.0
2025-02-18,389900.0,70000.0,319900.0,0.0,319900.0,0.0,319900.0
2025-02-19,287946.0,105000.0,182946.0,0.0,182946.0,0.0,182946.0
2025-02-20,148473.0,35000.0,113473.0,0.0,113473.0,0.0,113473.0
2025-02-21,0.0,35000.0,-35000.0,0.0,-35000.0,500000.0,-535000.0
2025-02-22,418944.0,105000.0,313944.0,0.0,313944.0,0.0,313944.0
2025-02-23,529880.0,105000.0,424880.0,0.0,424880.0,0.0,424880.0
2025-02-24,178146.0,35000.0,143146.0,0.0,143146.0,772.0,142374.0
2025-02-25,97475.0,70000.0,27475.0,0.0,27475.0,0.0,27475.0
2025-02-27,139980.0,35000.0,104980.0,0.0,104980.0,0.0,104980.0
2025-02-28,414900.0,70000.0,344900.0,0.0,344900.0,0.0,344900.0
2025-03-05,139980.0,35000.0,104980.0,0.0,104980.0,269285.0,-164305.0
2025-03-08,143968.0,35000.0,108968.0,0.0,108968.0,0.0,108968.0
2025-03-09,143968.0,35000.0,108968.0,0.0,108968.0,0.0,108968.0
2025-03-12,139980.0,35000.0,104980.0,0.0,104980.0,0.0,104980.0
2025-03-14,159980.0,35000.0,124980.0,0.0,124980.0,11893.0,113087.0
2025-03-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-18,0.0,0.0,0.0,1428.0,-1428.0,0.0,-1428.0
2025-03-19,0.0,0.0,0.0,5098.0,-5098.0,0.0,-5098.0
2025-03-20,304950.0,70000.0,234950.0,4361.0,230589.0,0.0,230589.0
2025-03-21,0.0,0.0,0.0,2598.0,-2598.0,0.0,-2598.0
2025-03-22,0.0,0.0,0.0,2454.0,-2454.0,0.0,-2454.0
2025-03-23,0.0,0.0,0.0,1763.0,-1763.0,0.0,-1763.0
2025-03-24,0.0,0.0,0.0,2972.0,-2972.0,777.0,-3749.0
2025-03-25,0.0,0.0,0.0,2531.0,-2531.0,0.0,-2531.0
2025-03-26,0.0,0.0,0.0,3053.0,-3053.0,0.0,-3053.0
2025-03-27,0.0,0.0,0.0,1413.0,-1413.0,0.0,-1413.0
2025-03-28,0.0,0.0,0.0,807.0,-807.0,0.0,-807.0
2025-03-29,0.0,0.0,0.0,3393.0,-3393.0,0.0,-3393.0
2025-03-30,0.0,0.0,0.0,2763.0,-2763.0,0.0,-2763.0
2025-03-31,0.0,0.0,0.0,4797.0,-4797.0,0.0,-4797.0
2025-04-01,0.0,0.0,0.0,3128.0,-3128.0,0.0,-3128.0
2025-04-02,0.0,0.0,0.0,3646.0,-3646.0,0.0,-3646.0
2025-04-03,0.0,0.0,0.0,2660.0,-2660.0,19403.0,-22063.0
2025-04-04,0.0,0.0,0.0,2667.0,-2667.0,0.0,-2667.0
2025-04-05,0.0,0.0,0.0,3966.0,-3966.0,0.0,-3966.0
2025-04-06,0.0,0.0,0.0,3298.0,-3298.0,0.0,-3298.0
2025-04-07,0.0,0.0,0.0,2363.0,-2363.0,0.0,-2363.0
2025-04-08,0.0,0.0,0.0,2694.0,-2694.0,0.0,-2694.0
2025-04-09,159980.0,35000.0,124980.0,2122.0,122858.0,0.0,122858.0
2025-04-10,0.0,0.0,0.0,3135.0,-3135.0,0.0,-3135.0
2025-04-11,179960.0,35000.0,144960.0,1080.0,143880.0,0.0,143880.0
2025-04-12,191970.0,35000.0,156970.0,3813.0,153157.0,0.0,153157.0
2025-04-13,0.0,0.0,0.0,4129.0,-4129.0,0.0,-4129.0
2025-04-14,125982.0,35000.0,90982.0,3698.0,87284.0,0.0,87284.0
2025-04-15,125982.0,35000.0,90982.0,3634.0,87348.0,0.0,87348.0
2025-04-16,0.0,0.0,0.0,2492.0,-2492.0,0.0,-2492.0
2025-04-17,246459.0,70000.0,176459.0,3429.0,173030.0,0.0,173030.0
2025-04-18,285962.0,70000.0,215962.0,3066.0,212896.0,0.0,212896.0
2025-04-19,354950.0,70000.0,284950.0,2619.0,282331.0,0.0,282331.0
2025-04-20,0.0,0.0,0.0,1572.0,-1572.0,0.0,-1572.0
2025-04-21,304950.0,70000.0,234950.0,2002.0,232948.0,340190.0,-107242.0
2025-04-22,0.0,0.0,0.0,3253.0,-3253.0,780.0,-4033.0
2025-04-23,0.0,0.0,0.0,1124.0,-1124.0,0.0,-1124.0
2025-04-24,0.0,0.0,0.0,4926.0,-4926.0,0.0,-4926.0
2025-04-25,0.0,0.0,0.0,5378.0,-5378.0,0.0,-5378.0
2025-04-26,0.0,0.0,0.0,2835.0,-2835.0,0.0,-2835.0
2025-04-27,0.0,0.0,0.0,3866.0,-3866.0,0.0,-3866.0
2025-04-28,0.0,0.0,0.0,1915.0,-1915.0,0.0,-1915.0
2025-04-29,0.0,0.0,0.0,2452.0,-2452.0,0.0,-2452.0
2025-04-30,0.0,0.0,0.0,2231.0,-2231.0,0.0,-2231.0
2025-05-01,179980.0,35000.0,144980.0,3327.0,141653.0,0.0,141653.0
2025-05-02,392914.0,70000.0,322914.0,2580.0,320334.0,300000.0,20334.0
2025-05-03,0.0,0.0,0.0,3083.0,-3083.0,0.0,-3083.0
2025-05-04,307538.0,70000.0,237538.0,1148.0,236390.0,0.0,236390.0
2025-05-05,0.0,0.0,0.0,159.0,-159.0,0.0,-159.0
2025-05-06,0.0,0.0,0.0,1877.0,-1877.0,19494.0,-21371.0
2025-05-07,0.0,0.0,0.0,3918.0,-3918.0,0.0,-3918.0
2025-05-08,0.0,0.0,0.0,5788.0,-5788.0,0.0,-5788.0
2025-05-09,0.0,0.0,0.0,3608.0,-3608.0,0.0,-3608.0
2025-05-10,0.0,0.0,0.0,1539.0,-1539.0,0.0,-1539.0
2025-05-11,349940.0,70000.0,279940.0,5458.0,274482.0,0.0,274482.0
2025-05-12,0.0,0.0,0.0,2929.0,-2929.0,0.0,-2929.0
2025-05-13,0.0,0.0,0.0,2585.0,-2585.0,0.0,-2585.0
2025-05-14,194950.0,35000.0,159950.0,5053.0,154897.0,0.0,154897.0
2025-05-15,0.0,0.0,0.0,3836.0,-3836.0,0.0,-3836.0
2025-05-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-18,125982.0,35000.0,90982.0,0.0,90982.0,0.0,90982.0
2025-05-23,258980.0,70000.0,188980.0,0.0,188980.0,0.0,188980.0
2025-05-24,164970.0,35000.0,129970.0,0.0,129970.0,0.0,129970.0
2025-05-30,69990.0,35000.0,34990.0,0.0,34990.0,0.0,34990.0
2025-05-31,139980.0,35000.0,104980.0,0.0,104980.0,0.0,104980.0
2025-06-05,125982.0,35000.0,90982.0,4672.0,86310.0,58250.0,28060.0
2025-06-06,0.0,0.0,0.0,9416.0,-9416.0,0.0,-9416.0
2025-06-07,0.0,0.0,0.0,10446.0,-10446.0,0.0,-10446.0
2025-06-08,0.0,0.0,0.0,10824.0,-10824.0,0.0,-10824.0
2025-06-09,0.0,0.0,0.0,9283.0,-9283.0,0.0,-9283.0
2025-06-10,0.0,0.0,0.0,10492.0,-10492.0,0.0,-10492.0
2025-06-11,0.0,0.0,0.0,11893.0,-11893.0,0.0,-11893.0
2025-06-12,0.0,0.0,0.0,14709.0,-14709.0,0.0,-14709.0
2025-06-13,139980.0,35000.0,104980.0,7194.0,97786.0,0.0,97786.0
2025-06-14,0.0,0.0,0.0,7172.0,-7172.0,0.0,-7172.0
2025-06-15,0.0,0.0,0.0,11200.0,-11200.0,0.0,-11200.0
2025-06-16,0.0,0.0,0.0,10717.0,-10717.0,0.0,-10717.0
2025-06-17,0.0,0.0,0.0,10463.0,-10463.0,0.0,-10463.0
2025-06-18,0.0,0.0,0.0,9640.0,-9640.0,0.0,-9640.0
2025-06-19,0.0,0.0,0.0,13313.0,-13313.0,0.0,-13313.0
2025-06-20,179960.0,35000.0,144960.0,16912.0,128048.0,0.0,128048.0
2025-06-21,194950.0,35000.0,159950.0,11892.0,148058.0,0.0,148058.0
2025-06-22,0.0,0.0,0.0,20559.0,-20559.0,0.0,-20559.0
2025-06-23,0.0,0.0,0.0,20304.0,-20304.0,785.0,-21089.0
2025-06-24,139980.0,35000.0,104980.0,24326.0,80654.0,0.0,80654.0
2025-06-25,189990.0,35000.0,154990.0,19984.0,135006.0,0.0,135006.0
2025-06-26,0.0,0.0,0.0,22288.0,-22288.0,0.0,-22288.0
2025-06-27,150007.0,35000.0,115007.0,21301.0,93706.0,0.0,93706.0
2025-06-28,194950.0,35000.0,159950.0,19205.0,140745.0,0.0,140745.0
2025-06-29,0.0,0.0,0.0,22725.0,-22725.0,0.0,-22725.0
2025-06-30,0.0,0.0,0.0,25334.0,-25334.0,200000.0,-225334.0
2025-07-01,0.0,0.0,0.0,24975.0,-24975.0,0.0,-24975.0
2025-07-02,344950.0,70000.0,274950.0,21840.0,253110.0,0.0,253110.0
2025-07-03,164970.0,35000.0,129970.0,25774.0,104196.0,354588.0,-250392.0
2025-07-04,579870.0,105000.0,474870.0,18891.0,455979.0,0.0,455979.0
2025-07-05,197940.0,35000.0,162940.0,20615.0,142325.0,0.0,142325.0
2025-07-06,82485.0,35000.0,47485.0,22893.0,24592.0,0.0,24592.0
2025-07-07,0.0,0.0,0.0,23094.0,-23094.0,0.0,-23094.0
2025-07-08,179960.0,35000.0,144960.0,24426.0,120534.0,0.0,120534.0
2025-07-09,0.0,0.0,0.0,23380.0,-23380.0,0.0,-23380.0
2025-07-10,62991.0,35000.0,27991.0,23659.0,4332.0,0.0,4332.0
2025-07-11,0.0,0.0,0.0,8562.0,-8562.0,0.0,-8562.0
2025-07-12,139980.0,35000.0,104980.0,2226.0,102754.0,0.0,102754.0
2025-07-13,0.0,0.0,0.0,2364.0,-2364.0,0.0,-2364.0
2025-07-14,0.0,0.0,0.0,1428.0,-1428.0,0.0,-1428.0
2025-07-15,0.0,0.0,0.0,3749.0,-3749.0,0.0,-3749.0
2025-07-16,0.0,0.0,0.0,5166.0,-5166.0,0.0,-5166.0
2025-07-17,0.0,0.0,0.0,4879.0,-4879.0,72200.0,-77079.0
2025-07-18,0.0,0.0,0.0,5684.0,-5684.0,0.0,-5684.0
2025-07-19,0.0,0.0,0.0,4808.0,-4808.0,0.0,-4808.0
2025-07-20,0.0,0.0,0.0,2376.0,-2376.0,0.0,-2376.0
2025-07-21,0.0,0.0,0.0,3825.0,-3825.0,100000.0,-103825.0
2025-07-22,0.0,0.0,0.0,1093.0,-1093.0,784.0,-1877.0
2025-07-23,0.0,0.0,0.0,2595.0,-2595.0,0.0,-2595.0
2025-07-24,0.0,0.0,0.0,2788.0,-2788.0,0.0,-2788.0
2025-07-25,0.0,0.0,0.0,941.0,-941.0,0.0,-941.0
2025-07-26,0.0,0.0,0.0,1774.0,-1774.0,0.0,-1774.0
2025-07-27,377960.0,70000.0,307960.0,4259.0,303701.0,0.0,303701.0
2025-07-28,0.0,0.0,0.0,5149.0,-5149.0,0.0,-5149.0
2025-07-29,194950.0,35000.0,159950.0,5964.0,153986.0,0.0,153986.0
2025-07-30,0.0,35000.0,-35000.0,30485.0,-65485.0,0.0,-65485.0
