periodo,Ingresos Operativos,Costo Operativo,Utilidad Bruta,Costos de Marketing,Resultado Operativo,Costos Fijos,Resultado Final
2024-08,0.0,35000.0,-35000.0,0.0,-35000.0,0.0,-35000.0
2024-09,269960.0,140000.0,129960.0,0.0,129960.0,0.0,129960.0
2025-01,2612430.0,525000.0,2087430.0,0.0,2087430.0,523130.0,1564300.0
2025-02,6580776.0,1505000.0,5075776.0,0.0,5075776.0,533787.0,4541989.0
2025-03,1032826.0,245000.0,787826.0,39431.0,748395.0,531955.0,216440.0
2025-04,1976195.0,455000.0,1521195.0,89193.0,1432002.0,360373.0,1071629.0
2025-05,2185224.0,490000.0,1695224.0,46888.0,1648336.0,320277.0,1328059.0
2025-06,1315799.0,280000.0,1035799.0,376264.0,659535.0,613584.0,45951.0
2025-07,2682970.0,595000.0,2087970.0,358340.0,1729630.0,527572.0,1202058.0
2025-08,857295.0,385000.0,472295.0,155366.0,316929.0,551600.0,-234671.0
2025-09,0.0,105000.0,-105000.0,0.0,-105000.0,0.0,-105000.0
2026-01,0.0,35000.0,-35000.0,0.0,-35000.0,0.0,-35000.0
