periodo,Ingresos Operativos,Costo Operativo,Utilidad Bruta,Costos de Marketing,Resultado Operativo,Costos Fijos,Resultado Final
2024-08-26 (S35),0.0,35000.0,-35000.0,0.0,-35000.0,0.0,-35000.0
2024-09-16 (S38),129980.0,70000.0,59980.0,0.0,59980.0,0.0,59980.0
2024-09-23 (S39),139980.0,70000.0,69980.0,0.0,69980.0,0.0,69980.0
2025-01-06 (S2),344930.0,70000.0,274930.0,0.0,274930.0,300000.0,-25070.0
2025-01-13 (S3),712830.0,140000.0,572830.0,0.0,572830.0,190000.0,382830.0
2025-01-20 (S4),999800.0,210000.0,789800.0,0.0,789800.0,13960.0,775840.0
2025-01-27 (S5),894870.0,175000.0,719870.0,0.0,719870.0,0.0,719870.0
2025-02-03 (S6),1108710.0,210000.0,898710.0,0.0,898710.0,19142.0,879568.0
2025-02-10 (S7),2011512.0,455000.0,1556512.0,0.0,1556512.0,0.0,1556512.0
2025-02-17 (S8),2290053.0,560000.0,1730053.0,0.0,1730053.0,513873.0,1216180.0
2025-02-24 (S9),830501.0,210000.0,620501.0,0.0,620501.0,772.0,619729.0
2025-03-03 (S10),427916.0,105000.0,322916.0,0.0,322916.0,519285.0,-196369.0
2025-03-10 (S11),299960.0,70000.0,229960.0,0.0,229960.0,11893.0,218067.0
2025-03-17 (S12),304950.0,70000.0,234950.0,17702.0,217248.0,0.0,217248.0
2025-03-24 (S13),0.0,0.0,0.0,16932.0,-16932.0,777.0,-17709.0
2025-03-31 (S14),0.0,0.0,0.0,24162.0,-24162.0,19403.0,-43565.0
2025-04-07 (S15),531910.0,105000.0,426910.0,19336.0,407574.0,0.0,407574.0
2025-04-14 (S16),1139335.0,280000.0,859335.0,20510.0,838825.0,0.0,838825.0
2025-04-21 (S17),304950.0,70000.0,234950.0,23384.0,211566.0,340970.0,-129404.0
2025-04-28 (S18),880432.0,175000.0,705432.0,16736.0,688696.0,300000.0,388696.0
2025-05-05 (S19),349940.0,70000.0,279940.0,22347.0,257593.0,19494.0,238099.0
2025-05-12 (S20),320932.0,70000.0,250932.0,14403.0,236529.0,0.0,236529.0
2025-05-19 (S21),423950.0,105000.0,318950.0,0.0,318950.0,783.0,318167.0
2025-05-26 (S22),209970.0,70000.0,139970.0,0.0,139970.0,0.0,139970.0
2025-06-02 (S23),125982.0,35000.0,90982.0,35358.0,55624.0,412799.0,-357175.0
2025-06-09 (S24),139980.0,35000.0,104980.0,71943.0,33037.0,0.0,33037.0
2025-06-16 (S25),374910.0,70000.0,304910.0,93496.0,211414.0,0.0,211414.0
2025-06-23 (S26),674927.0,140000.0,534927.0,150133.0,384794.0,785.0,384009.0
2025-06-30 (S27),1370215.0,280000.0,1090215.0,160322.0,929893.0,554588.0,375305.0
2025-07-07 (S28),382931.0,105000.0,277931.0,107711.0,170220.0,0.0,170220.0
2025-07-14 (S29),0.0,0.0,0.0,28090.0,-28090.0,72200.0,-100290.0
2025-07-21 (S30),377960.0,70000.0,307960.0,17275.0,290685.0,100784.0,189901.0
2025-07-28 (S31),1311674.0,315000.0,996674.0,145129.0,851545.0,0.0,851545.0
2025-08-04 (S32),97485.0,35000.0,62485.0,80513.0,-18028.0,451600.0,-469628.0
2025-08-11 (S33),0.0,35000.0,-35000.0,0.0,-35000.0,100000.0,-135000.0
2025-08-18 (S34),0.0,70000.0,-70000.0,0.0,-70000.0,0.0,-70000.0
2025-08-25 (S35),0.0,70000.0,-70000.0,0.0,-70000.0,0.0,-70000.0
2025-09-15 (S38),0.0,35000.0,-35000.0,0.0,-35000.0,0.0,-35000.0
2025-09-22 (S39),0.0,70000.0,-70000.0,0.0,-70000.0,0.0,-70000.0
2026-01-05 (S2),0.0,35000.0,-35000.0,0.0,-35000.0,0.0,-35000.0
