Fecha,Descripción,Monto,Categoría,País,Monto (USD),Cuotas,Ciudad
2025-01-13,COMPRA IMPORTADORA  CL,10380.0,,,,,
2025-01-13,COMPRA SUPERMERCADO CL,24190.0,,,,,
2025-01-13,COMPRA SUPERMERCADO CL,5250.0,,,,,
2025-01-13,COMPRA SUPERMERCADO CL,3500.0,,,,,
2025-01-13,COMPRA MERPAGO*MERPAGO,10800.0,,,,,
2025-01-13,COMPRA MERPAGO*MERPAGO,10800.0,,,,,
2025-01-14,COMPRA LIBRERIA VER CL,1850.0,,,,,
2025-01-14,COMPRA IMPORTADORA  CL,7400.0,,,,,
2025-01-17,COMPRA SUPERMERCADO CL,2850.0,,,,,
2025-01-17,TEF BANCOESTADO A INOSTROZA CANALES,200000.0,,,,,
2025-01-20,COMPRA SUPERMERCADO CL,3000.0,,,,,
2025-01-20,COMPRA SUPERMERCADO CL,9248.0,,,,,
2025-01-20,COMPRA LIBRERIA VER CL,13600.0,,,,,
2025-01-21,COMPRA FERRETERIA E CL,56930.0,,,,,
2025-01-21,COMPRA COPEC ASISTI CL,66857.0,,,,,
2025-01-21,COMPRA FERRETERIA E CL,1780.0,,,,,
2025-01-21,COMPRA FERRETERIA E CL,2200.0,,,,,
2025-01-21,COMPRA SUPERMERCADO CL,68181.0,,,,,
2025-01-22,COMPRA SODIMAC VILL CL,17870.0,,,,,
2025-01-22,COMPRA FERRETERIA F CL,12250.0,,,,,
2025-01-22,WEB MERPAGO*QUALITYRUB,177705.0,,,,,
2025-01-22,TEF BANCOESTADO A OCAMPO BUENO CARL,30000.0,,,,,
2025-01-23,COMPRA FERRETERIA E CL,2990.0,,,,,
2025-01-23,COMPRA SUPERMERCADO CL,21100.0,,,,,
2025-01-24,COMPRA TUU*TRANSPOR CL,6500.0,,,,,
2025-01-27,COMPRA SUPERMERCADO CL,5950.0,,,,,
2025-01-27,TEF BANCOESTADO A INOSTROZA CANALES,20000.0,,,,,
2025-01-27,COMPRA SUPERMERCADO CL,1900.0,,,,,
2025-01-27,COMPRA SUPERMERCADO CL,7317.0,,,,,
2025-01-27,COMPRA FERRETERIA N CL,7500.0,,,,,
2025-01-27,COMPRA SUPERMERCADO CL,3450.0,,,,,
2025-01-27,COMPRA AGROFOOD     CL,5000.0,,,,,
2025-01-28,COMPRA MP     *FERR CL,92000.0,,,,,
2025-01-29,COMPRA SUPERMERCADO CL,10720.0,,,,,
2025-01-29,WEB MERPAGO*DISTRIBUID,19080.0,,,,,
2025-01-29,COMPRA SODIMAC VILL CL,144440.0,,,,,
2025-01-30,COMPRA UNIMARC PUCO CL,167690.0,,,,,
2025-01-30,MERPAGO,1375.0,,,,,
2025-01-30,COMPRA MORA         CL,14960.0,,,,,
2025-01-30,COMPRA LIBRERIA VER CL,2500.0,,,,,
2025-01-30,COMPRA MERPAGO*CONS CL,725.0,,,,,
2025-01-30,COMPRA SUMUP * SUSA CL,5900.0,,,,,
2025-01-30,COMPRA COPEC ASISTI CL,60605.0,,,,,
2025-01-30,TEF A MG DISENO LIMITADA,60000.0,,,,,
2025-01-30,TEF A QUIMICA ANDINA CHILE SA,144282.0,,,,,
2025-01-31,COMPRA SUPERMERCADO CL,4290.0,,,,,
2025-02-03,COMPRA SUPERMERCADO CL,1900.0,,,,,
2025-02-03,COMPRA SUPERMERCADO CL,3150.0,,,,,
2025-02-03,TEF BANCOESTADO A  MUNOZ CUCHA BAST,13000.0,,,,,
2025-02-04,COMPRA SUPERMERCADO CL,4333.0,,,,,
2025-02-04,COMPRA FERRETERIA N CL,50800.0,,,,,
2025-02-04,COMPRA SUPERMERCADO CL,16320.0,,,,,
2025-02-05,COMPRA SUPERMERCADO CL,3800.0,,,,,
2025-02-06,COMPRA EXPRESS VILL CL,41773.0,,,,,
2025-02-06,COMPRA DOBLE RR CON CL,62060.0,,,,,
2025-02-06,COMPRA DOBLE RR CON CL,44779.0,,,,,
2025-02-06,COMPRA SERVITECA DA CL,20000.0,,,,,
2025-02-06,COMPRA MEC-SUR SUCU CL,34000.0,,,,,
2025-02-06,COMPRA COMERCIALIZA CL,2400.0,,,,,
2025-02-06,TEF A ROJAS PRADO RENT A CAR SPA,6500.0,,,,,
2025-02-07,COMPRA SUPERMERCADO CL,1900.0,,,,,
2025-02-07,WEB MERPAGO*MERCADOLIB,14950.0,,,,,
2025-02-10,TEF BANCOESTADO A  MUNOZ CUCHA BAST,87000.0,,,,,
2025-02-10,COMPRA SUPERMERCADO CL,2990.0,,,,,
